count_rep1_0Hpf	count_rep1_12Hpf	count_rep2_12Hpf	count_rep1_13Hpf	count_rep2_13Hpf	count_rep1_14Hpf	count_rep2_14Hpf	count_rep1_15Hpf	count_rep2_15Hpf	count_rep1_16Hpf	count_rep2_16Hpf	count_rep1_17Hpf	count_rep2_17Hpf	count_rep1_18Hpf	count_rep2_18Hpf	count_rep1_19Hpf	count_rep2_19Hpf	
jgi|Nemve1|100014|e_gw.55.36.1	44.04483385	42.67119002	40.17333464	35.41708953	30.76077553	28.72475059	28.88014827	22.04687398	20.70504158	14.39046276	19.64092336	12.49091675	10.38170093	10.52203686	9.938870822	5.550110227	6.882158274
jgi|Nemve1|100017|e_gw.55.28.1	51.78575014	49.30210875	46.86889041	38.28418725	45.70435108	33.54741092	41.24838568	29.90265666	30.25710973	23.78722015	24.73725625	20.9053	13.25801634	14.38011704	17.36630654	10.33468801	11.10321535
jgi|Nemve1|100030|e_gw.55.76.1	44.24080641	51.69660719	49.87034645	48.7968789	64.92408825	57.62551068	58.38812584	62.59284911	61.52812614	70.12665806	65.10708415	77.29734676	78.37959488	90.18262425	90.03762008	108.0836121	94.37733047
jgi|Nemve1|100049|e_gw.55.63.1	175.346452	153.9846684	140.8952728	107.1507502	128.3308288	94.72831352	113.5743222	90.38373624	102.4579377	90.42365404	99.92248184	104.5265	81.750277	105.8779959	128.1900597	110.045289	118.7401708
jgi|Nemve1|100066|e_gw.55.95.1	18.07846907	21.67328068	19.9712267	21.53134173	21.47276857	21.64916864	27.68727258	25.13005751	34.04591889	26.90157403	31.09335681	37.26369725	36.17865475	38.05469998	38.95396145	47.12809116	49.64330169
jgi|Nemve1|100096|e_gw.55.222.1	13.32613438	13.38463226	14.4300771	12.87383095	13.01240579	17.21372921	13.49833017	17.61215795	14.51487451	19.59895114	16.66329067	20.1736145	19.99938057	22.31548651	22.44261153	21.48275424	21.56409593
jgi|Nemve1|10011|gw.156.1.1	119.2003123	108.9803774	108.1678579	106.2512686	105.2027719	116.1310689	104.7847119	126.7484077	135.4365864	142.6696252	130.3286926	164.3679213	163.3207843	179.4007285	162.6554988	188.6080562	192.103978
jgi|Nemve1|100119|e_gw.55.184.1	132.0855084	170.991747	169.3513848	168.7090249	213.2563182	187.0980997	209.6949896	190.3549062	189.2270037	165.7051047	179.2878456	149.472895	132.3105088	146.1247869	162.1211509	124.1119477	128.3293113
jgi|Nemve1|100129|e_gw.55.77.1	38.06767064	55.13486135	52.17915879	60.04039939	38.43947435	46.5369121	56.31628912	44.38939569	61.36803562	41.99008163	54.39905888	46.98466175	45.66150711	52.04024064	52.52639794	34.44896003	44.917553
jgi|Nemve1|100135|e_gw.55.9.1	20.92007125	15.84052809	16.39256758	14.56035903	16.59886392	17.70655582	12.43102034	13.30414809	10.67270185	13.69241792	11.05159828	11.706968	16.26915903	11.57424055	11.91595803	13.34897201	11.24085851
jgi|Nemve1|100141|e_gw.55.163.1	22.0469135	14.73537497	15.87308481	18.04585038	17.88631043	13.79914489	11.55205931	13.43085426	13.44760433	11.54458766	9.734568431	10.9752825	13.61755576	11.61808237	7.641174879	9.904076009	7.891541488
jgi|Nemve1|100165|e_gw.56.22.1	23.957646	17.00707861	20.6638704	12.81761335	17.42650811	12.81349168	11.36371051	8.658255107	9.125160079	8.752408318	10.1354036	8.153067001	7.280673377	9.645200455	9.671696875	6.985483562	6.973920385
jgi|Nemve1|100176|e_gw.56.1.1	25.57441965	20.56812756	24.12708891	21.64377693	25.84089065	25.62698337	22.79020396	31.29642456	26.0413925	27.8144019	22.73308039	25.08636	32.1338362	28.1464486	25.59526411	25.0233418	24.91341295
jgi|Nemve1|100191|e_gw.56.94.1	14.01203835	16.82288642	16.16168635	20.40698968	17.51846857	19.74826603	22.72742103	23.778525	23.6933981	28.19027219	25.08082925	27.96083875	27.19016909	26.21740851	27.83952526	28.61177514	26.06043933
jgi|Nemve1|100198|e_gw.56.170.1	0.587917693	1.043755727	1.385287401	0.730828832	1.011565114	0.739239905	0.62782931	0.802472425	0.373544565	0.966523618	1.202505512	1.1497915	1.258387991	1.972881911	1.122130577	1.387527557	0.688215827
jgi|Nemve1|100219|e_gw.56.117.1	0.195972564	0.552576561	0.519482776	0.562176024	0.459802325	0.563230404	0.690612241	0.337883126	0.586998602	0.859132105	0.286310836	0.7316855	0.76402128	0.263050922	0.694652262	0.430612	0.596453717
jgi|Nemve1|100237|e_gw.56.84.1	0.293958847	0.552576561	1.038965551	0.730828832	0.643723255	2.288123515	1.506790344	2.660829618	2.508084934	2.845875097	2.863108362	2.6131625	3.10102755	3.068927418	3.312956941	6.60271734	3.899889689
jgi|Nemve1|100263|e_gw.56.123.1	50.31595591	24.2519713	27.93662926	25.97253232	23.54187903	28.97116389	16.95139137	26.27041306	17.18304997	20.35069173	18.15210702	21.0098265	34.87532433	25.42825575	21.96169843	25.74102847	22.6193602
jgi|Nemve1|100266|e_gw.56.95.1	21.80194779	22.04166506	22.28003904	23.61139302	24.55344414	23.97249406	24.73647482	26.60829618	25.93466549	26.68679101	26.62690777	26.758784	23.23523541	25.73514849	23.19069858	23.68366002	25.41810456
jgi|Nemve1|100273|e_gw.56.26.1	57.17499566	48.6267374	51.94827755	48.00983247	40.18672318	44.35439429	40.05550999	38.72985333	35.64682417	33.50615209	36.07516536	37.1069075	37.70669731	40.15910735	38.90052666	43.01335426	40.83413909
jgi|Nemve1|100278|e_gw.56.102.1	45.36764866	57.46796238	63.72322046	76.6245921	71.3613208	85.11819476	96.62293083	97.09916337	105.2328402	99.39084538	103.1291632	111.4775123	114.0638829	114.2517836	120.3885804	113.059573	129.7975051
jgi|Nemve1|100285|e_gw.56.66.1	2.400663914	3.929433325	4.040421587	2.754662519	2.620873251	3.660997624	4.834285688	4.645892984	5.122896886	5.960228978	6.356100564	5.853484001	4.494242826	4.647232947	4.595391885	6.267796895	6.285704557
jgi|Nemve1|100325|e_gw.56.137.1	42.9179916	34.3211442	36.36379429	33.22460303	41.01436737	35.69472683	27.56170671	33.61937105	21.93240229	25.34439709	23.47748857	21.8460385	24.26891126	19.68497729	16.93882823	18.46847024	16.10425036
jgi|Nemve1|100326|e_gw.56.129.1	1.175835386	1.841921871	1.616168635	2.304921699	2.942734878	5.104275533	2.385751378	4.519186812	3.041720026	4.349356281	2.69132186	4.33784975	6.202055099	5.787120273	4.702261464	5.93287645	4.129294965
jgi|Nemve1|100328|e_gw.56.72.1	66.72865818	64.71285508	69.43753099	64.70646039	66.02761383	54.14052255	59.76935032	49.92223188	45.19889232	41.45312406	43.11841193	41.44475725	41.16726428	39.41379641	41.35852697	33.82696492	32.52966811
jgi|Nemve1|100342|e_gw.56.108.1	0.685903975	0.061397396	0.34632185	0.22487041	0.18392093	0.211211401	0.188348793	0.168941563	0.480271583	0.268478783	0.229048669	0.209053	0.224712141	0.131525461	0.213739157	0.095691556	0.09176211
jgi|Nemve1|100352|e_gw.56.19.1	245.2106712	239.2042537	237.9808315	205.9250777	231.5564507	169.2507363	206.2419284	174.1787515	157.4223522	142.5085379	146.9347211	157.3123825	137.3890032	138.2771011	136.4190172	131.0974312	125.5305669
jgi|Nemve1|100359|e_gw.56.75.1	133.7022821	181.9204835	168.6587411	183.4942543	209.853781	212.5138717	247.1136165	222.5382739	301.2370096	283.7283776	287.3415552	371.905287	322.6416924	381.5553616	396.6998762	440.0854644	432.4289449
jgi|Nemve1|100369|e_gw.57.41.1	18.86235932	22.28725464	21.76055626	18.88911441	18.48405345	17.17852731	18.70931344	16.51403779	20.97185913	16.10872697	19.06830169	18.55345375	14.38157704	17.14215172	17.74035007	16.31541024	18.35242207
jgi|Nemve1|100372|e_gw.57.78.1	9.504669374	10.68314685	10.21649459	8.263987556	8.506343008	8.166840853	8.475695687	7.644605728	8.538161477	10.14849799	9.505519762	9.982280751	10.11204636	11.00429688	15.0686106	15.11926579	16.93010936
jgi|Nemve1|100379|e_gw.57.17.1	59.67364586	51.4510176	60.49088319	47.72874446	42.43975457	35.97634203	38.29758792	35.39325746	33.40555678	27.38483584	30.46347297	27.2814165	25.25764468	24.85831208	22.81665506	21.29137113	22.02290648
jgi|Nemve1|100385|e_gw.57.73.1	0.342951988	1.043755727	0.519482776	0.393523217	0.73568372	1.161662708	0.753395172	0.675766252	0.373544565	0.483261809	0.515359505	0.5226325	0.584251567	0.263050922	0.694652262	0.334920445	0.550572662
jgi|Nemve1|100386|e_gw.57.65.1	20.3811467	14.98096455	14.48779741	14.44792382	14.71367439	10.10294537	9.731354307	9.671904485	7.257437255	6.38979503	7.100508738	6.167063501	7.46044309	6.488589397	7.58774009	7.272558229	6.377466668
jgi|Nemve1|10039|gw.203.19.1	2.253684491	1.412140101	1.962490485	3.260620941	1.701268602	2.182517814	3.139146551	2.069534147	3.521991609	1.825655723	3.206681365	4.12879675	3.10102755	2.323616473	2.725174258	2.440134669	3.762246523
jgi|Nemve1|100394|e_gw.57.49.1	0.244965706	0.122794791	0.173160925	0.393523217	0.091960465	0.492826603	0.313914655	0.295647735	0.320181055	0.322174539	0.171786502	0.05226325	0.26965457	0.306892742	0.106869579	0.047845778	0.137643165
jgi|Nemve1|100407|e_gw.57.36.1	27.68112472	22.53284422	24.47341076	20.35077208	23.58785926	23.09244655	19.65105741	22.46922789	21.3987672	19.59895114	20.15628287	17.50818875	14.24674976	14.16090794	16.13730639	11.62652401	13.62667338
jgi|Nemve1|100421|e_gw.57.195.1	1.077849104	1.166550518	1.038965551	1.405440061	1.379406974	1.619287411	0.878961034	1.055884769	1.707632295	0.805436348	0.572621672	1.30658125	0.629193996	0.745310944	0.961826209	0.813378223	0.779977938
jgi|Nemve1|100430|e_gw.57.126.1	63.69108343	68.88787798	72.43898703	60.77122822	69.06230918	56.60465557	63.59910912	53.38553393	64.03621108	57.83032981	58.17836192	62.92495301	52.40287135	62.69380296	66.84692149	66.40993962	67.30750792
jgi|Nemve1|100445|e_gw.57.113.1	21.55698208	25.47991922	19.39402362	19.90103126	13.88603021	11.05339667	15.63294982	9.418492141	13.23415029	9.718931936	12.19684162	12.38639025	10.56147064	14.2924334	11.59534929	13.97096712	13.35138705
jgi|Nemve1|100449|e_gw.57.215.1	31.60057601	25.7869062	28.9178745	27.26553718	32.23214296	30.5904513	26.74552861	28.59335955	22.62612791	26.52570374	23.47748857	24.7727805	30.24625422	26.91887763	22.97695943	26.69794403	23.39933813
jgi|Nemve1|100451|e_gw.57.87.1	12.00331957	17.43686038	19.04770177	27.43418998	20.69110461	26.04940617	23.4808162	24.15864352	25.988029	23.14287108	27.88667545	24.9818335	24.31385369	24.9021539	24.41969874	19.71246046	22.6193602
jgi|Nemve1|10046|gw.255.3.1	16.95162682	13.63022185	11.54406168	9.556992412	12.5985837	9.856532064	10.92423	9.883081439	10.45924781	10.41697677	10.19266577	11.75923125	9.52779479	10.30282776	14.0533496	12.05713601	10.36911847
jgi|Nemve1|100473|e_gw.57.21.1	31.99252114	40.70647335	41.90494389	55.99273201	58.44087547	75.9657007	72.45150239	86.20243255	85.86188635	84.51712082	74.32629308	82.10556576	84.44682269	77.55618002	83.03766267	68.27592495	72.40030505
jgi|Nemve1|100491|e_gw.57.164.1	37.77371179	40.0924994	35.44026935	31.31320455	34.20929296	28.90076009	34.46782913	26.22817767	31.48447045	24.32417772	28.23024845	26.39294125	21.39259585	20.7810228	22.6029159	15.7412609	18.90299473
jgi|Nemve1|100508|e_gw.57.24.1	8.426820269	7.736071859	7.215038549	6.240153869	5.885469757	6.582755343	6.466641894	6.039660879	6.670438654	5.530662925	5.439905888	4.33784975	3.999876115	3.945763823	4.435087517	4.353965782	4.496343406
jgi|Nemve1|100515|e_gw.57.2.1	40.66430711	30.33031348	34.4013038	31.70672777	32.0022418	31.64650831	28.25231896	27.83312251	24.06694266	23.19656683	22.56129389	23.832042	23.37006269	24.33221024	20.78613306	24.83195869	22.43583597
jgi|Nemve1|100525|e_gw.57.130.1	15.62881201	16.20891247	17.77785498	19.56372564	20.46120345	24.21890736	18.8348793	25.72135298	19.31759034	21.7467814	19.5836612	21.37566925	26.65085996	22.31548651	21.85482885	22.48751558	21.01352326
jgi|Nemve1|100526|e_gw.57.175.1	34.98110275	23.88358693	25.74325754	17.93341517	22.71423484	21.78997624	19.33714275	23.98970195	20.91849562	19.54525539	17.86579618	19.7555085	20.988114	23.19232291	24.20595958	24.25780936	22.25231175
jgi|Nemve1|100529|e_gw.57.159.1	29.49387094	22.22585725	22.45319996	15.85336388	25.47304879	6.301140141	9.354656721	8.996138233	8.32470744	3.382832663	2.576797526	4.65142925	5.258264106	4.208814744	2.5114351	3.827662226	4.542224461
jgi|Nemve1|10066|gw.302.2.1	322.6198341	296.3038317	309.0922514	303.2939651	296.8483809	248.8422327	291.8150633	222.0314493	212.7069478	210.4336699	211.4119215	188.1477	162.1972236	169.5801607	168.7470648	138.6092184	140.9007204
jgi|Nemve1|100664|e_gw.58.232.1	3.380526736	2.271703641	2.481973261	1.686528073	2.436952321	2.217719714	1.130092758	2.322946492	1.547541768	1.664568453	0.801670341	1.51563425	0.988733422	1.70983099	1.282434945	1.865985335	1.3305506
jgi|Nemve1|100670|e_gw.58.199.1	9.210710527	8.964019773	8.484885334	8.263987556	8.828204635	9.610118763	9.480222583	8.784961279	8.431434459	7.356318648	7.386819574	7.473644751	7.640212804	7.146216701	6.625913881	5.885030672	5.735131895
jgi|Nemve1|100691|e_gw.58.181.1	48.1602577	62.9323306	62.6265346	69.99091502	67.31506034	76.0009026	72.38871946	68.67474538	65.79720688	64.64969089	69.34448453	58.95294601	62.91939956	61.37854835	63.05305145	43.68319515	50.74444701
jgi|Nemve1|100694|e_gw.58.64.1	15.48183259	14.91956716	16.5080082	17.37123915	18.30013252	18.05857482	17.0141743	18.41463037	19.47768087	19.76003841	19.98449637	22.786777	26.42614781	25.69130667	25.86243805	32.82220359	31.47440384
jgi|Nemve1|100698|e_gw.58.157.1	6.712060331	8.779827586	7.272758857	6.296371471	5.471647664	4.189026127	6.780556549	4.519186812	9.071796569	5.262184142	6.699673567	2.97900525	2.741488124	3.50734562	4.488522307	2.822900892	4.312819185
jgi|Nemve1|100712|e_gw.58.35.1	7.740916294	11.60410779	10.79369767	12.31165493	13.56416858	18.05857482	16.70025965	19.59722132	20.8117686	18.57873177	19.41187469	20.95756325	21.88696256	22.14011923	20.67926348	22.29613247	22.25231175
jgi|Nemve1|100717|e_gw.58.270.1	1.959725644	1.473537497	0.923524934	0.899481639	1.517347672	1.091258907	1.067309827	1.182590941	0.960543166	1.181306644	1.259767679	0.88847525	0.494366711	0.832994585	0.641217472	0.909069779	0.917621103
jgi|Nemve1|100718|e_gw.58.19.1	10.38654591	9.086814565	10.27421489	13.37978938	10.66741393	12.39106888	10.61031534	18.66804272	17.87677559	15.78655243	15.40352299	26.0270985	31.95406649	24.9021539	20.03804601	31.81744225	29.04270792
jgi|Nemve1|10072|gw.164.3.1	93.52790636	79.07984567	78.78822095	62.96371471	69.70603243	50.76114013	52.48653033	43.71362944	48.72088393	33.29136906	43.3474606	32.76905775	35.90900018	35.46803258	42.05317923	34.64034314	40.60473382
jgi|Nemve1|100734|e_gw.58.107.1	7.789909435	12.21808175	12.23670538	13.26735417	15.12749648	16.75610451	17.26530603	22.00463859	21.29204018	22.65960927	23.53475074	25.922572	28.71821166	29.24249411	26.23648158	29.32946181	29.86856691
jgi|Nemve1|100737|e_gw.58.225.1	0.195972564	0.184192187	0.519482776	0.337305615	0.229901162	0.211211401	0.376697586	0.422353908	0.266817546	0.214783026	0.114524334	0.26131625	0.134827285	0.394576382	0.267173947	0.095691556	0.183524221
jgi|Nemve1|100746|e_gw.58.327.1	10.7294979	7.367687485	8.542605642	7.252070713	9.47192789	7.990831352	9.040742066	7.813547292	10.19243026	13.85350519	9.276471093	14.63371	18.47133801	20.21107914	23.03039422	42.24782182	36.88836835
jgi|Nemve1|100753|e_gw.58.86.1	109.2057115	91.23653002	98.70172735	97.4813226	112.5596091	81.56280283	81.05276394	86.92043419	71.24028482	73.99275253	67.74114385	74.31834151	83.95245598	80.93200018	65.77822571	81.19428497	67.35338898
jgi|Nemve1|100769|e_gw.58.166.1	10.38654591	12.15668435	14.48779741	15.57227587	14.89759532	18.48099762	19.0232281	21.66675546	19.21086332	25.88135466	25.53892659	26.340678	20.673517	29.11096865	28.21356878	30.62129781	26.65689305
jgi|Nemve1|100782|e_gw.58.44.1	1.371807951	2.14890885	1.385287401	2.417356904	1.149505812	1.971306413	2.009053792	1.900592584	1.760995805	2.470004802	2.233224522	2.6131625	2.292063841	2.762034676	2.458000311	4.019045337	2.706982255
jgi|Nemve1|100799|e_gw.58.357.1	2.547643337	2.210306245	1.44300771	1.068134446	1.609308137	1.267268408	1.192875689	1.055884769	0.907179657	1.073915131	0.858932509	0.78394875	0.494366711	0.920678225	1.282434945	1.052607112	0.688215827
jgi|Nemve1|100805|e_gw.58.108.1	27.63213158	23.82218953	24.12708891	16.47175751	21.3808081	13.27111639	16.51191086	11.36132012	12.54042467	11.81306644	10.59350094	10.9752825	11.14572221	12.53876059	11.80908845	11.29160357	10.32323741
jgi|Nemve1|100834|e_gw.58.191.1	22.34087234	23.82218953	25.80097785	19.39507284	23.12805693	22.21239904	19.90218913	18.96369045	13.66105836	13.1017646	15.91888249	13.379392	14.7860589	12.31955149	11.80908845	18.46847024	15.00310504
jgi|Nemve1|100869|e_gw.58.32.1	7.838902576	7.797469255	6.406954231	6.296371471	7.218896498	7.427600948	7.031688273	8.235901199	7.257437255	8.269146509	8.245752083	11.44565175	13.34790119	11.53039873	12.34343634	19.04261957	18.26065995
jgi|Nemve1|100873|e_gw.58.24.1	8.328833987	6.937905715	7.330479166	7.926681942	8.828204635	10.17334917	7.659517584	10.34767074	9.872249208	12.02784947	10.53623877	10.034544	13.39284362	15.82689711	16.67165428	20.90860491	16.74658513
jgi|Nemve1|100890|e_gw.58.104.1	9.602655656	10.74454425	9.639291501	7.533158725	8.9201651	6.265938241	7.596734653	5.701777753	5.389714432	4.241964768	5.439905888	6.010273751	5.482976247	5.567911172	5.717522462	6.028568006	6.285704557
jgi|Nemve1|100901|e_gw.58.189.1	0.293958847	0.552576561	0.577203084	0.730828832	0.505782557	0.492826603	1.067309827	0.633530861	0.373544565	0.590653322	0.62988384	0.627159	0.674136424	0.569943663	0.587782683	0.526303556	0.688215827
jgi|Nemve1|100925|e_gw.58.54.1	2.498650196	1.841921871	1.731609252	1.742745675	1.149505812	1.51368171	2.44853431	1.942827975	2.134540369	1.39608967	1.66060285	1.463371	1.348272848	1.052203686	0.85495663	0.574149334	1.147026379
jgi|Nemve1|10094|gw.178.1.1	18.42142105	26.70786713	26.32046063	38.34040485	30.11705227	46.2552969	43.69691999	58.66495777	58.69986015	61.26685823	59.49539176	101.808811	116.6256013	96.80273911	89.9307505	99.18429743	101.8100614
jgi|Nemve1|100982|e_gw.59.154.1	13.86505893	18.97179527	17.02749098	21.19403611	20.32326275	24.81733966	24.61090896	27.11512087	27.64229778	33.66723936	31.89502715	44.319236	41.97622799	47.87526771	41.03791823	57.65416228	48.9092048
jgi|Nemve1|101008|e_gw.59.109.1	0.685903975	0.552576561	0.404042159	0.505958422	0.643723255	0.668836104	0.62782931	0.929178597	0.960543166	0.966523618	0.744408174	0.99300175	0.674136424	0.832994585	1.496174102	1.243990223	0.871740048
jgi|Nemve1|101013|e_gw.59.90.1	78.1930532	89.14901857	87.85030937	106.3074862	97.57005331	100.3606176	96.05788445	115.8939123	104.8592956	104.2234635	95.9713923	143.828464	153.9278168	141.4775539	134.3884953	130.5232819	130.1186724
jgi|Nemve1|101020|e_gw.59.66.1	20.47913298	23.82218953	22.6840812	17.53989196	17.01268602	12.14465558	14.3772912	12.54391106	14.62160153	10.90023858	15.86162033	14.1110775	14.33663461	15.87073893	18.27469796	17.27232579	19.08651895
jgi|Nemve1|101025|e_gw.59.13.1	20.72409869	18.6034109	19.68262516	20.01346646	20.96698601	28.05591448	17.26530603	29.2691258	22.83958195	32.53962847	27.14226727	30.103632	36.2685396	36.38871081	40.82417907	36.41063692	31.65792806
jgi|Nemve1|10106|gw.169.3.1	61.14344009	41.19765252	42.25126574	32.21268619	38.80731621	27.24627078	22.53907223	22.08910937	18.5171377	19.11568933	19.35461253	15.7835015	15.19054075	15.69537165	13.67930608	12.10498179	12.11259856
jgi|Nemve1|101069|e_gw.59.139.1	115.5258267	118.2513841	124.5604255	111.985464	142.8146021	111.7308313	118.0946932	119.9485098	110.6759181	118.0769687	95.11245979	92.66274226	101.4350606	98.86330466	99.17496906	96.69631698	91.44094294
jgi|Nemve1|101077|e_gw.59.150.1	36.20593127	32.23363275	37.1141583	31.31320455	30.4389139	35.48351543	36.10018533	40.50373974	37.03427541	47.0911785	44.26365528	55.817151	56.17803532	59.05493188	60.32787719	77.55800585	73.36380721
jgi|Nemve1|101079|e_gw.59.142.1	7.250984883	3.745241138	5.137107447	4.328755387	4.414102317	4.61144893	3.766975861	4.223539077	3.735445646	4.778922333	3.092157031	3.50163775	4.224588256	4.384182025	3.045782994	4.688886227	4.679867627
jgi|Nemve1|10108|gw.163.2.1	28.17105613	30.39171088	26.1472997	30.63859332	26.94441623	29.07676959	35.78627068	34.21066652	46.15943549	37.85550837	43.06114977	58.16899726	52.58264106	60.89628833	65.03013866	87.36639031	84.92583311
jgi|Nemve1|101093|e_gw.59.182.1	0.195972564	0.368384374	0.173160925	0.787046434	0.321861627	0.844845606	0.502263448	1.478238677	0.747089129	2.255221775	0.801670341	1.5678975	2.022409272	2.411300114	1.870217628	1.865985335	2.523458034
jgi|Nemve1|101105|e_gw.59.22.1	35.42204102	31.12847962	29.84139944	29.23315326	32.69194529	30.8720665	26.68274568	22.97605258	16.43596084	21.37091111	23.76379941	14.79049975	15.55008018	15.95842257	15.65639328	12.34421068	11.69966907
jgi|Nemve1|10112|gw.209.7.1	36.45089698	42.54839523	37.34503953	36.87874719	36.87614644	37.41961994	42.75517602	36.78702536	48.40070287	38.49985745	41.34328475	39.66780675	38.51566102	39.67684733	48.94626706	46.98455382	47.85394053
jgi|Nemve1|101124|e_gw.59.202.1	30.08178864	54.02970822	48.8313809	52.16993505	50.44031502	50.72593823	83.37573239	60.77672731	142.4272061	75.12036342	106.2785824	117.4355228	84.67153483	112.7611617	179.0599792	129.1836001	213.8515981
jgi|Nemve1|101127|e_gw.59.140.1	36.45089698	40.031102	37.69136138	36.99118239	44.55484527	32.35054631	40.4949905	32.0144262	32.9252852	29.85484064	29.83358913	30.46947475	27.23511152	31.43458512	34.35856956	31.05190981	31.01559329
jgi|Nemve1|10113|gw.217.3.1	0.489931411	0.491179166	0.173160925	0.168652807	0.275881395	0.387220903	0.376697586	0.886943206	0.800452638	1.073915131	0.858932509	1.9860035	3.999876115	3.068927418	2.885478626	7.368249785	7.065682495
jgi|Nemve1|101137|e_gw.59.33.1	50.41394219	35.97887388	34.80534596	30.02019969	29.33538832	27.84470308	25.80378465	23.14499414	17.18304997	15.78655243	18.72472869	15.52218525	15.14559832	14.16090794	16.19074118	9.521309787	8.900924702
jgi|Nemve1|10114|gw.208.2.1	404.4873729	347.1408753	353.7677701	306.554586	298.5956297	258.8395724	255.2126146	219.4973258	187.5727349	201.7886531	192.9162414	208.0599983	196.4882963	203.5575714	198.5102425	192.9141762	177.5138024
jgi|Nemve1|101157|e_gw.59.9.1	21.80194779	16.27030986	16.79660974	12.70517815	16.50690346	11.01819477	10.42196655	12.20602793	11.79333554	12.99437309	11.50969562	13.4839185	17.48260459	18.23819722	17.25943696	21.00429646	18.85711367
jgi|Nemve1|10117|gw.267.1.1	572.9747852	626.990205	605.7169163	613.7837833	722.4873929	580.0217101	572.0780674	539.0080569	494.412913	511.3446897	491.4239193	505.072048	479.5806519	494.9741506	532.3708064	529.0307654	496.7083032
jgi|Nemve1|101176|e_gw.60.8.1	79.56486115	51.69660719	49.69718552	34.9111311	47.12973829	29.11197149	27.24779206	22.80711101	18.30368367	20.94134506	21.41605055	21.58472225	17.75225916	20.51797188	19.82430685	22.48751558	21.51821487
jgi|Nemve1|101187|e_gw.60.48.1	0.44093827	0.85956354	0.34632185	1.180569651	0.965584882	1.654489311	1.130092758	1.224826332	2.027813351	1.71826421	1.202505512	1.51563425	1.393215276	1.75367281	1.389304523	1.578910668	1.51407482
jgi|Nemve1|101190|e_gw.60.51.1	19.69524272	21.55048589	22.22231873	18.94533202	20.04738136	18.37539192	19.8394062	20.27298757	22.03912931	18.20286147	16.54876633	16.097081	16.8534106	15.60768801	14.96174102	15.50203201	16.70070408
jgi|Nemve1|101196|e_gw.60.139.1	0.832883399	1.534934893	0.865804626	2.023833687	1.609308137	1.865700712	1.88348793	2.027298757	2.614811952	2.308917532	2.175962355	2.1950565	1.617927417	3.068927418	3.045782994	2.775055114	2.431695924
jgi|Nemve1|101218|e_gw.60.121.1	35.61801358	26.33948276	26.1472997	15.62849347	22.71423484	14.6087886	10.98701293	11.19237855	6.563711635	7.678493187	8.131227748	6.428379751	5.258264106	7.146216701	6.198435566	7.320404007	6.193942447
jgi|Nemve1|10122|gw.302.3.1	2.547643337	1.412140101	1.327567093	1.461657663	1.287446509	1.58408551	1.632356206	0.802472425	2.08117686	2.147830262	2.69132186	1.881477	1.707812274	1.885198271	2.5114351	3.492741781	2.523458034
jgi|Nemve1|101238|e_gw.60.65.1	0.195972564	0.368384374	0.230881234	0.505958422	0.597743022	0.915249406	0.502263448	0.464589298	0.480271583	1.073915131	0.400835171	0.5226325	1.078618278	0.701469124	0.320608736	0.813378223	0.779977938
jgi|Nemve1|101242|e_gw.60.49.1	117.4855524	149.3798638	139.9140275	123.3976373	170.4027415	114.5117814	129.7095355	98.11281275	106.0332928	100.6258478	125.4041463	107.2964523	82.33452857	99.17019741	127.602277	81.67274274	95.15730841
jgi|Nemve1|10127|gw.62.13.1	11.12144303	10.19196769	9.235249343	7.589376327	8.874184867	6.864370545	6.84333948	6.504250178	5.54980496	4.99370536	5.554430222	6.114800251	5.438033819	5.743278453	4.862565832	5.645801783	6.423347723
jgi|Nemve1|10128|gw.448.7.1	0.195972564	0.184192187	0.173160925	0.281088012	0.36784186	0.176009501	0.251131724	0.084470782	0.213454037	0.268478783	0.171786502	0.05226325	0.089884857	0.131525461	0.053434789	0.143537333	0.183524221
jgi|Nemve1|10129|gw.175.28.1	33.56030165	30.26891608	28.10979019	25.01683308	28.50774413	34.95548693	27.1222262	28.63559494	27.69566129	30.55288548	29.03191879	23.9365685	28.08901766	31.43458512	29.92348204	27.6070138	25.00517506
jgi|Nemve1|101342|e_gw.60.83.1	1.518787374	0.85956354	0.404042159	0.899481639	0.55176279	1.302470308	0.941743965	0.971413988	0.907179657	0.859132105	0.458097338	0.5226325	0.808963709	0.526101843	0.587782683	0.478457778	0.367048441
jgi|Nemve1|10139|gw.330.1.1	2.20469135	0.798166144	1.327567093	1.686528073	1.149505812	1.126460807	0.816178103	0.718001643	0.320181055	0.805436348	0.62988384	0.99300175	0.898848565	1.227570967	0.480913104	0.813378223	0.550572662
jgi|Nemve1|101414|e_gw.60.39.1	0.832883399	1.166550518	0.865804626	1.124352048	0.73568372	1.126460807	0.753395172	1.436003286	0.320181055	0.536957566	1.546078516	1.3588445	0.719078852	0.964520046	0.694652262	0.66984089	0.550572662
jgi|Nemve1|10142|gw.297.2.1	22.19389292	19.64716663	20.02894701	22.03730015	24.18560228	24.35971496	18.0187012	26.73500235	24.44048723	25.98874617	19.69818553	30.15589525	40.85266728	32.57447245	26.82426426	42.7262796	37.20953574
jgi|Nemve1|101427|e_gw.60.18.1	2.841602184	2.026114058	2.597413878	1.686528073	1.839209299	1.724893111	2.197402585	2.19624032	2.401357915	2.094134506	1.889651519	2.24731975	1.842639558	2.411300114	1.870217628	2.822900892	2.018766427
